#### DATA MINER
Timestamp: 1558426773654
Algorithm: pol1
Max index for prime numbers picking: 2000
Iterations limit: 10000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","59677151","11483","5197","true","38264544","29985301","48","154","6052172"
"","93051247","6359","14633","true","28899602","18413611","18","43","1181071"
"","16235347","2333","6959","true","6952820","9885401","9","27","2793"
"","134276543","15619","8597","true","61542662","31986176","1","144","71739"
"","141933977","15551","9127","true","81151740","34234373","10","266","17657322"
"","1063631","10531","101","true","394406","668212","23","63","25129"
"","255015653","15233","16741","true","167048789","95286126","0","205","377"
"","4185059","6761","619","true","951390","1064048","6","32","10097"
"","6587023","3877","1699","true","1685349","3871962","8","5","1359"
"","154198637","9931","15527","true","125583126","132495102","39","18","5599134"
"","9203407","1321","6967","true","769339","2350576","17","44","34496"
"","14116897","3593","3929","true","13075478","9743686","6","31","28998"
"","48594697","6959","6983","true","18468585","41170318","100","119","4512307"
"","9087709","2011","4519","true","1338255","547932","17","9","6151"
"","158848841","9173","17317","true","88890681","19322649","49","172","15768909"
"","57897061","8009","7229","true","43627700","30470920","19","13","7429405"
"","44628691","9319","4789","true","40433101","22913381","7","75","68931"
"","175683007","15241","11527","true","75046184","101474078","28","211","6447212"
"","57171349","9059","6311","true","24542541","4612403","35","125","15244509"
"","13187959","797","16547","true","3760948","3330568","2","38","20020"
"","67810991","4759","14249","true","19171284","45716986","3","115","6735"
"","5040709","12697","397","true","3386382","4428904","4","29","252274"
"","74190049","7243","10243","true","31604503","20183558","57","146","14195622"
"","33420857","2539","13163","true","30403460","23124321","18","93","710611"
"","39676849","6581","6029","true","23503835","36683229","17","78","246952"
"","35985011","5711","6301","true","7401862","12901555","31","33","379603"
"","245313319","14939","16421","true","83072430","234162051","57","95","4757143"
"","16125839","12911","1249","true","6795814","13662816","74","20","2903097"
"","49569511","9011","5501","true","13081359","7354818","24","52","120510"
"","44056267","3019","14593","true","38913428","40080868","15","101","608730"
"","114028141","6961","16381","true","77982128","40344001","41","24","650668"
"","18250693","7489","2437","true","9818577","2948674","0","17","53"
"","258165529","17351","14879","true","128173387","251070520","29","147","7570513"
"","56436389","9293","6073","true","8077820","25300848","8","60","514538"
"","1231931","1097","1123","true","785859","689281","22","26","2578"
"","138551267","9967","13901","true","33851923","38786778","127","12","9533646"
"","197901943","11789","16787","true","139397652","81843754","0","43","106"
"","141294509","14683","9623","true","104465404","6811200","93","30","5838722"
"","645181","953","677","true","211995","201163","25","24","4297"
"","14745793","14057","1049","true","382253","1236139","13","23","191978"
"","32075713","5171","6203","true","23822988","977339","101","40","121813"
"","16766623","16231","1033","true","682812","10992152","128","9","70060"
"","12536933","2521","4973","true","10685244","7940148","2","43","54305"
"","5256227","6907","761","true","950308","2037016","9","23","16141"
"","25507099","3221","7919","true","19270582","13839976","2","16","5160"
"","214003459","17207","12437","true","91337905","38185482","43","60","1022088"
"","35704177","2447","14591","true","17182755","10514668","9","18","7415"
"","30032231","5689","5279","true","24813530","13748746","35","35","116689"
"","1200653","6221","193","true","572754","784268","10","124","4300"
"","68573179","13109","5231","true","50710709","25816380","92","161","71317766"
"","105360197","12479","8443","true","48911661","43246195","57","100","127112"
"","1496191","271","5521","true","501057","123825","4","9","552"
"","35499493","3037","11689","true","5146832","15909960","23","3","11978510"
"","137335511","8707","15773","true","96587471","49299754","57","44","6212312"
"","15816041","12251","1291","true","13610057","2118866","15","28","3649667"
"","258032917","15149","17033","true","211487605","60179393","13","100","40448"
"","4589","353","13","true","3143","2922","0","1","23"
"","982367","107","9181","true","91095","2606","9","9","11403"
"","49540079","3919","12641","true","12993250","27325033","15","8","974633"
"","14377663","4159","3457","true","12932726","7124966","23","44","9334"
"","53428007","12791","4177","true","21536079","597212","14","163","3180524"
"","78104947","8317","9391","true","48363882","64638485","57","68","5855771"
"","5818751","829","7019","true","4875091","366989","6","35","44879"
