"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","3491717","1907","1831","true","2386771","1791787","10","82","11624"
"","478333","829","577","true","351923","283260","4","14","548"
"","3294779","1163","2833","true","1355102","2299458","19","20","5865"
"","2170913","2383","911","true","2164502","925542","16","46","11424"
"","294451","1063","277","true","5352","256591","18","4","42342"
"","4693289","3169","1481","true","27916","644012","22","8","9348"
"","5987801","2591","2311","true","1948265","3733464","58","58","233723"
"","626657","3181","197","true","104744","100804","19","7","3157"
"","1658219","761","2179","true","503423","1155600","1","16","591"
"","133","7","19","true","40","5","0","1","21"
"","7176163","2377","3019","true","5353726","4859310","12","1","7881"
"","3668417","1321","2777","true","1586940","989885","0","15","66"
