"n","p","q","success","bInit","b","i","time (µs)"
"68106920737","595981","114277","true","3","23307028968","43","116"
"121506890093","253751","478843","true","3","17295160659","29","81"
"325081476341","405143","802387","true","3","209071561495","127","417"
"492308677123","970313","507371","true","3","446401749044","449","3186"
"357106626319","619739","576221","true","3","315974818898","613","2207"
"367714372897","624983","588359","true","3","298825621723","1481","5792"
"87164182969","738811","117979","true","3","30142572690","106","498"
"70084966177","273901","255877","true","3","50865880810","83","320"
"198380329237","200899","987463","true","3","159191872620","461","1766"
"333705847823","538841","619303","true","3","237210201544","709","2119"
"765514572367","997651","767317","true","3","83282907830","739","2912"
"354896328401","376573","942437","true","3","150909746886","4483","16541"
"175099113697","591653","295949","true","3","58097957989","109","333"
"74705135623","104281","716383","true","3","67322666510","79","335"
"228318690151","326143","700057","true","3","24593702468","463","1552"
"310976997229","638933","486713","true","3","47432128703","733","2715"
"289191603979","351077","823727","true","3","257810586335","101","359"
"347931587807","539947","644381","347931587807","3","1","101","450"
"279623189957","784183","356579","true","3","5999784134","18671","74223"
"680412252029","852757","797897","true","3","304688370587","397","1720"
"151218744139","337013","448703","true","3","34297475998","6481","26574"
"401085185119","618593","648383","true","3","262078059125","1487","5050"
"101591260723","907397","111959","true","3","76940911817","727","3174"
"124421405609","262819","473411","true","3","10249942","157","513"
"146709728189","779927","188107","true","3","53366504976","113","358"
"132131459063","410299","322037","true","3","122723148109","563","2726"
"234124017709","584359","400651","true","3","154326290106","337","1478"
"43388040391","389099","111509","true","3","4673899736","457","1317"
"541250272103","621883","870341","true","3","520684601294","34549","138574"
"245964045661","256349","959489","true","3","92170432319","937","3326"
"417682957759","902987","462557","true","3","121993858067","587","2694"
"136245008843","563837","241639","true","3","136079727768","103","330"
"447563631743","519457","861599","true","3","199673556774","773","3419"
"70013969551","415087","168673","true","3","63516516919","251","741"
"732000608167","808777","905071","true","3","388047160716","239","1371"
"183796857241","787837","233293","true","3","140730535474","113","314"
"512488043371","730553","701507","true","3","225238987090","1723","6753"
"393377773483","625063","629341","true","3","108088058069","617","2028"
"242814293569","429791","564959","true","3","8826919417","1733","5465"
"727205643119","979907","742117","true","3","335732796620","241","778"
"290992590431","420419","692149","true","3","222631110149","57679","230664"
"656647371803","942607","696629","true","3","177659739540","7481","29809"
"246599286379","407203","605593","true","3","116296868535","647","1984"
"258670317281","746797","346373","true","3","109060041900","6661","26740"
"222776371793","244301","911893","true","3","103803983503","349","1200"
"651737479769","658979","989011","true","3","385284070216","37","256"
"666031585277","818473","813749","true","3","571538877428","509","2899"
"459125102459","508187","903457","true","3","175971740633","3137","13029"
"826807225553","905581","913013","true","3","535259950509","43","400"
"463799707417","829151","559367","true","3","275590721928","103","556"
"456061208609","531101","858709","true","3","362029776560","113","425"
"128649599093","153067","840479","true","3","125292533650","263","874"
"217969440019","300877","724447","true","3","195207315280","241","753"
"478528304231","705119","678649","true","3","126236749452","8599","38133"
"76675963009","136429","562021","true","3","60696019917","29","131"
"339281606681","888779","381739","true","3","287817463397","149","1030"
"314389050931","316109","994559","true","3","257954743380","6079","27399"
"154097336039","965117","159667","true","3","53855998435","89","1012"
"278909047687","356137","783151","true","3","116206790827","71","302"
"191012604439","313507","609277","true","3","138813375433","17417","108064"
"233041172807","986497","236231","true","3","100702600258","367","1717"
"62692905809","153337","408857","true","3","49586585818","149","2583"
"184823707391","328177","563183","true","3","65700707224","53","188"
"900216531779","947743","949853","true","3","651164835268","827","2852"
"56804870449","176933","321053","true","3","42008848325","89","288"
"275040692039","614983","447233","true","3","220923710108","1747","6478"
"96909723299","276587","350377","true","3","82682665215","1123","4884"
"782921000101","906403","863767","true","3","694887594996","1021","3643"
"790964693921","822389","961789","true","3","404958324214","1277","4730"
"213944483743","259723","823741","true","3","88082458221","307","1600"
"395667872231","476423","830497","true","3","331673925897","211","1958"
"134277582469","210731","637199","true","3","132384464241","1601","5742"
"153497737013","301703","508771","true","3","37413887328","601","1852"
"167860141693","588733","285121","true","3","111153566488","9","219"
"60432044671","244021","247651","true","3","45938173356","83","271"
"231730009319","281563","823013","true","3","217967491443","281","905"
"386380498423","488353","791191","true","3","323613734012","149","480"
"51190058273","398171","128563","true","3","873189004","1373","4849"
"301562176543","676253","445931","true","3","189349883428","2347","8725"
"512090845577","563119","909383","true","3","339249352194","739","3415"
"415041853081","919901","451181","true","3","348826529522","1327","4763"
"626414810173","795307","787639","true","3","34519066815","523","2524"
"227792019437","297809","764893","true","3","72657950776","2659","9928"
"376961491609","607823","620183","true","3","56705631140","2393","15567"
"320195891797","446477","717161","true","3","3733887152","211","716"
"231397698941","933059","247999","true","3","56648811068","9521","38341"
"317717064311","449171","707341","true","3","56884363221","11789","67987"
"111656180981","277577","402253","true","3","821072767","157","623"
"195201345421","219937","887533","true","3","147036901918","79","386"
"171237046207","228451","749557","true","3","111206525192","443","2532"
"75998944843","612169","124147","true","3","15432465277","22","101"
"734456414009","789671","930079","true","3","349739466529","317","1067"
"148829419313","338231","440023","true","3","16696232713","113","363"
"496659302459","861617","576427","true","3","42498396909","157","1110"
"16027396543","145043","110501","true","3","4773311698","17","73"
"137646776633","256831","535943","true","3","38058501736","1223","4965"
"501338776427","959737","522371","true","3","392897133061","39989","207681"
"176960427253","527489","335477","true","3","40349216078","317","1239"
"609545926307","876191","695677","true","3","110882847242","12517","99140"
"142641078673","871181","163733","true","3","77068155985","1013","3452"
"122474050421","295237","414833","true","3","69629875029","139","466"
"229778108771","321319","715109","true","3","101411752618","79","297"
"251967067739","367547","685537","true","3","100126106536","193","635"
"73452985103","282913","259631","true","3","34084226589","421","1285"
"74799232421","357619","209159","true","3","27103228773","3137","13542"
"754891452037","952649","792413","true","3","671578734044","499","1947"
"201010755791","494987","406093","true","3","181842760099","787","3005"
"227187244763","785623","289181","true","3","152182368794","761","2551"
"75764809037","114613","661049","true","3","22510040549","4349","15651"
"198227012537","964829","205453","true","3","87048176118","439","1510"
"659280364409","953929","691121","true","3","399511478624","163","544"
"171437106107","230003","745369","true","3","69328261429","2389","9636"
"132254619943","332881","397303","true","3","49041693326","73","344"
"288780178399","454199","635801","true","3","195253215499","34","418"
"289674606643","984541","294223","true","3","98549600478","269","1209"
"119340010991","842089","141719","true","3","81702278972","1201","5304"
"301391685817","964259","312563","true","3","116390022000","317","1000"
"432783830209","738863","585743","true","3","100693907645","10099","38043"
"338938428527","850303","398609","true","3","143272654289","487","1677"
"593489193769","918431","646199","true","3","506349904819","457","1548"
"247085547691","926389","266719","true","3","225211650624","25733","107896"
"616931236147","709507","869521","true","3","2819580819","1877","8145"
"559121649067","647609","863363","true","3","75936229303","379","1248"
"101340193033","254783","397751","true","3","2334400620","43","273"
"168508923881","353699","476419","true","3","147782791706","293","1063"
"113975609801","147097","774833","true","3","35920793207","227","2537"
"159589907783","562259","283837","true","3","124241415478","109","735"
"214349447107","960119","223253","true","3","165113007235","55813","233601"
"155326654247","207343","749129","true","3","121812870175","3229","10910"
"278913231689","618437","450997","true","3","255218751304","59","559"
"423171452083","890177","475379","true","3","22655894828","1987","6411"
"47867935447","106961","447527","true","3","19160458736","191","688"
"630386578153","831751","757903","true","3","60557295058","1109","4431"
"32127626459","208001","154459","true","3","23789698374","15","75"
"128342920787","246923","519769","true","3","81638557524","7219","24705"
"656504849617","739433","887849","true","3","393228251102","5437","19660"
"136226575957","612637","222361","true","3","28315672102","109","352"
"94543439827","107339","880793","true","3","4486448184","41","151"
"394594321133","404249","976117","true","3","50022579759","39","125"
"93205066673","871393","106961","true","3","49673651050","191","533"
"442628263901","566417","781453","true","3","106861353392","443","1431"
"43960643509","367033","119773","true","3","30473281859","373","1372"
"499019180221","847201","589021","true","3","147362989142","353","1428"
"119437527037","194101","615337","true","3","105219434687","647","2258"
"16660691137","124759","133543","true","3","11292186609","239","679"
"319467262033","438439","728647","true","3","279357108558","73","275"
"587346268309","610681","961789","true","3","405915385934","727","2367"
"330204534173","938537","351829","true","3","199731936045","103","351"
"253569160777","774023","327599","true","3","139800252459","233","710"
"99354762707","249647","397981","true","3","74249723247","67","558"
"321428154737","530603","605779","true","3","253122038739","739","2989"
"522651024541","787793","663437","true","3","156981935525","929","3704"
"730780400929","764657","955697","true","3","243612899483","53","232"
"416023120663","490661","847883","true","3","172499252702","853","2747"
"163941851153","336151","487703","true","3","5175044646","83","305"
"338218735187","801301","422087","true","3","248725316926","73","243"
"180380600527","590129","305663","true","3","109487813629","479","1495"
"437430348547","583903","749149","true","3","260183942595","383","1197"
"292931132477","905587","323471","true","3","184870145921","4621","15090"
"277838068913","912851","304363","true","3","250110599614","457","1538"
"455445638981","825467","551743","true","3","41795045145","1523","6143"
"365257528357","720931","506647","true","3","239588441093","3433","12484"
"88508178797","492799","179603","true","3","55352746586","1009","3128"
"40222232327","113591","354097","true","3","31213102936","307","2931"
"219368100067","634979","345473","true","3","155027208548","2699","10676"
"267616569629","324473","824773","true","3","168459885251","311","882"
"294767258537","385661","764317","true","3","227891813989","337","939"
"490472714297","599759","817783","true","3","439076366793","3613","13732"
"19427022023","182179","106637","true","3","15866151290","349","1163"
"205628588351","420683","488797","true","3","132176085568","46","204"
"261788278693","591509","442577","true","3","163015739838","181","761"
"45026640089","154727","291007","true","3","30593856918","317","936"
"62841014681","555707","113083","true","3","58401941517","401","1049"
"152774955871","187091","816581","true","3","94584229233","353","1472"
"261860491847","401017","652991","true","3","37890893280","31","191"
"386559227179","795427","485977","true","3","275220923709","3583","13532"
"159564352793","685099","232907","true","3","123955900285","1153","4494"
"276754326661","303473","911957","true","3","245745758995","1459","4812"
"266948326493","290923","917591","true","3","67546626284","1031","3515"
"263142806821","818309","321569","true","3","146056318232","773","2690"
"42976100183","162937","263759","true","3","22186642480","73","229"
"352752904967","983659","358613","true","3","238052363614","12611","47543"
"139194807181","824951","168731","true","3","2691596913","359","1598"
"60991422061","217439","280499","true","3","38424298008","8363","29325"
"863471954909","905123","953983","true","3","693630149575","23819","94575"
"274464107527","495343","554089","true","3","4495237726","9173","34894"
"227029651447","498061","455827","true","3","187878570421","2767","9705"
"394099564643","947357","415999","true","3","47014958984","191","553"
"411949201207","870577","473191","true","3","209083866360","2591","9030"
"186611907793","206641","903073","true","3","142363663823","41","125"
"117582111187","419563","280249","true","3","19336819545","163","432"
"322329274471","380621","846851","true","3","100413663624","16937","62199"
"211627526611","234733","901567","true","3","16196577001","631","1900"
"163319169967","169831","961657","true","3","160928798643","37","131"
"155655676793","203761","763913","true","3","140022197249","137","956"
"92684280571","255587","362633","true","3","58074222554","2719","9171"
"132899725381","354701","374681","true","3","14161068396","29","91"
"127257984151","186161","683591","true","3","91848858825","179","477"
"282179826407","456403","618269","true","3","215454620614","61","173"
"443135065697","801551","552847","true","3","307583172986","41","117"
"350238354079","961393","364303","true","3","282581458132","547","1862"
"33533217061","161761","207301","true","3","2795068320","337","1727"
"547683935459","701969","780211","true","3","478819372622","601","1939"
"74718322247","462529","161543","true","3","33645747048","73","257"
"137986422031","486589","283579","true","3","34661194238","43","180"
"460066838639","467899","983261","true","3","128627254238","233","912"
"198218995003","999133","198391","true","3","128989265208","389","4767"
"529674594049","614129","862481","true","3","376189631983","293","976"
"448908645629","699373","641873","true","3","87047606896","521","1893"
"162494065661","702431","231331","true","3","130060996800","701","2797"
"810770891687","997333","812939","true","3","732774464423","383","1350"
"143996671141","433439","332219","true","3","91185477807","3863","14577"
"90106606019","179953","500723","true","3","5355761187","163","501"
"385256444329","938869","410341","true","3","85840464814","977","3136"
"256127063747","819583","312509","true","3","168380049019","5939","21808"
"91088563063","322747","282229","true","3","20137885838","811","5260"
"659979857263","811441","813343","true","3","229094137531","23","148"
"54703257083","165779","329977","true","3","15435334130","4583","16758"
"17528798093","169241","103573","true","3","4659645698","137","678"
"147344777221","147997","995593","true","3","120387105561","3191","12050"
"116932793893","462937","252589","true","3","100252068923","97","266"
"367488481859","941537","390307","true","3","185899711338","9293","34819"
"40658825309","343237","118457","true","3","37149655142","67","234"
"493578466489","863393","571673","true","3","192952785980","3761","14078"
"101467905241","539009","188249","true","3","21267139105","4211","15114"
"38226127321","112831","338791","true","3","27354662923","491","1353"
"624697298413","644239","969667","true","3","116021001511","5113","20163"
"142764626101","663827","215063","true","3","84091568568","367","1533"
"161828425789","457547","353687","true","3","89025847397","1987","7701"
"443649389479","548629","808651","true","3","307077526623","349","1152"
"376062947303","873247","430649","true","3","242308577561","131","410"
"408412504783","682153","598711","true","3","388361981655","661","3136"
"369815023937","481409","768193","true","3","273916906911","3761","13501"
"52047240419","400151","130069","true","3","13737583982","151","384"
"188234136731","296477","634903","true","3","150130616215","83","228"
"426914549687","460697","926671","true","3","67229054380","79","259"
"620818541041","648619","957139","true","3","172092635062","1753","6311"
"645422260579","672593","959603","true","3","456657689944","331","1851"
"337075640353","636721","529393","true","3","45343039844","269","1055"
"117205156399","557671","210169","true","3","1465928776","139","508"
"134772758551","978749","137699","true","3","132261817287","569","2206"
"533304026623","536227","994549","true","3","135779807677","1237","5535"
"474429590291","588737","805843","true","3","240806385215","9199","33980"
"88102364453","109831","802163","true","3","70027257122","523","2043"
"32528993591","189947","171253","true","3","9610033349","71","269"
"192706918199","200597","960667","true","3","3559271236","89","1720"
"102816865769","597769","172001","true","3","8126015245","43","163"
"375145954949","494783","758203","true","3","288550073914","1181","3585"
"53968630783","337517","159899","true","3","16149958900","2579","9929"
"372842148257","626477","595141","true","3","93806124421","13","72"
"195172279711","619687","314953","true","3","120589231140","199","627"
"332730084259","942709","352951","true","3","194961661577","181","1493"
"372861327557","812527","458891","true","3","359667293526","421","1818"
