#### DATA MINER - 1557737812864
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"267192089173988219","327966659","814692841","true","3","99626672583274765","522239","2064579"
"503122612830801451","950235389","529471559","true","3","188463656817263096","44651","178180"
"317034894320388821","328503913","965087117","true","3","7172640368736690","457","1576"
"303967076898174293","341150737","891005189","true","3","58373063207442480","5783","20875"
"112765535351251837","461044547","244587071","true","3","85462041898540542","268777","1029483"
"770641576182480689","905039123","851500843","true","3","547229769829619721","1832063","7580691"
"863328500671714283","873772261","988047503","true","3","763596431232391173","535237","2185902"
"579414327418593061","814209511","711628051","true","3","378725360988086712","373","1361"
"76863972325923571","130717823","588014477","true","3","57381642889220042","1233187","4775171"
"158054432579686843","257924899","612792457","true","3","141749171026362934","29","103"
"94665837586113047","233947691","404645317","true","3","86295098938943629","298411","1138417"
"903287876419986997","910457609","992125133","true","3","666578975935261019","432727","1760988"
"206236768967760637","482373391","427545907","true","3","157312648340457433","16979","64039"
"373610865759854819","462355657","808059467","true","3","213492852097984395","912031","3660575"
"573187778317716137","828361561","691953617","true","3","87115127325716625","23087","90803"
"107913377934238829","429687463","251143883","true","3","17256857166895491","21911","81831"
"411163628355946007","776323903","529628969","true","3","376451696982059087","6263","24160"
"479660396746148687","514734091","931860557","true","3","114868383515303240","32191","128069"
"295103003320872941","774021757","381259313","true","3","251270951462783938","2927","10751"
"953828708413049267","980854681","972446507","true","3","886299985691537103","587","2157"
"217261504500837571","970556009","223852619","true","3","182665932202781915","10175119","41809559"
"406086157756370359","452668721","897093479","true","3","179314364911850499","9739","36134"
"507193016149078117","992300311","511128547","true","3","348424263840457930","11025559","46263463"
"43192678727906761","286201529","150917009","true","3","15607874649115242","569","1921"
"144458980882897361","425332213","339637997","true","3","96442029028537927","1201","5299"
"536198315117508679","672750341","797024219","true","3","48811322150932365","523669","2109698"
"125403809300902739","177618893","706027423","true","3","65878357363174214","2137","7783"
"645010497106393433","655624909","983810237","true","3","506617516559698397","1733","6681"
"797962045349515619","940824749","848151631","true","3","414997955296727591","303997","1227012"
"741231438596411089","936194401","791749489","true","3","1747548214821052","130027","517467"
"408000739185564529","424674577","960737377","true","3","193500918557819360","1583","5646"
"102714362146420621","922074827","111394823","true","3","221294393290872","2311","8484"
"105664153542912077","284020327","372030251","true","3","93065078297948596","379","1849"
"61676196119371511","167203027","368870093","true","3","56287740489775918","3793","13710"
"383057166185826157","595939711","642778387","true","3","13291503204146997","185651","733285"
"101853640416087643","109532053","929898031","true","3","79933170869489202","1889","6501"
"245753206632771301","972782243","252629207","true","3","124240543731338322","34807","132889"
"696290527901275589","919376329","757350941","true","3","130917747667516129","101611","403599"
"318978972047389471","780902513","408474767","true","3","99054998942253635","45233","175433"
"33230133447701779","187876859","176871881","true","3","22032997866144709","7351","25178"
"411629542047819911","966901801","425720111","true","3","247153772159321489","3253","12256"
"76187948508487999","476876363","159764573","true","3","69677237008403570","213589","803986"
"189945141790869649","219102139","866925091","true","3","89206817149409465","6619","24141"
"380257556183778113","880269029","431978797","true","3","261715713167745363","11549","44644"
"157941499888723949","173993783","907742203","true","3","146222569003738678","86996891","366538826"
"93331541884367513","254636171","366529003","true","3","29403407084804688","439","1467"
"121052690059123601","267287491","452893211","true","3","88172301712784196","102409","388718"
"204110794496281511","210781979","968350309","true","3","153310779964877491","96181","366732"
"359446488369091517","365847007","982504931","true","3","118784154142355138","300367","1186121"
"82793076647408401","201374783","411139247","true","3","60023089242306047","5573","20118"
"272344767466160621","787162711","345982811","true","3","185628134970316895","2035193","8203723"
"784441381976011099","823864997","952147967","true","3","397581581588455238","34159","135475"
"285582768887997727","388965617","734210831","true","3","38489970106065646","277","964"
"408436951439196881","897544481","455060401","true","3","212446470383891346","8819","34069"
"42917825573337361","401023109","107020829","true","3","24033487345453965","26755207","107179372"
"124138965414477833","769128769","161402057","true","3","109488207597764875","239","799"
"697011319794946537","939949973","741540869","true","3","32981384810261932","8779","33255"
"180444053233071269","885693287","203731987","true","3","18423136221372166","259201","1006212"
"318903539110743133","450191279","708373427","true","3","98162905082197296","31181","119784"
"91653876588008549","260822423","351403363","true","3","28116356471146282","65831","248116"
"29981651584232837","132977437","225464201","true","3","10717669415234815","5101","17271"
"479408012670391499","640516763","748470673","true","3","110624181028953825","4993","18774"
"170765427658008727","255534187","668268421","true","3","67913404694203337","1907","6663"
"65839553239080029","641245817","102674437","true","3","4911960271857060","46093","170837"
"106743479899851943","256347503","416401481","true","3","97064501882582923","946367","3682548"
